Date,Store_ID,Item_ID,Sales,Promotion,Holiday,Region,Temperature,Fuel_Price
2023-01-04,5,102,97,Yes,Yes,West,33,3.38
2023-01-04,5,103,94,No,No,West,25,3.95
2023-01-04,5,104,89,Yes,Yes,South,21,3.02
2023-01-04,5,105,48,Yes,Yes,South,30,4.1
2023-01-05,1,101,24,No,No,West,37,3.12
2023-01-05,1,102,70,Yes,No,West,30,3.27
2023-01-05,1,103,92,Yes,Yes,South,36,4.47
2023-01-05,1,104,52,Yes,No,South,20,3.86
2023-01-05,1,105,32,Yes,No,North,33,4.45
2023-01-05,2,101,80,No,Yes,South,38,3.46
2023-01-05,2,102,90,Yes,No,North,27,2.83
2023-01-05,2,103,100,No,No,South,29,3.45
2023-01-05,2,104,43,No,No,North,23,3.87
2023-01-05,2,105,58,Yes,Yes,West,24,2.53
2023-01-05,3,101,45,No,No,East,40,2.85
2023-01-05,3,102,94,No,Yes,East,33,3.18
2023-01-05,3,103,69,Yes,No,South,36,2.92
2023-01-05,3,104,63,No,Yes,East,40,2.88
2023-01-05,3,105,51,No,Yes,West,22,2.79
2023-01-05,4,101,25,Yes,Yes,West,33,2.75
2023-01-05,4,102,87,Yes,Yes,South,30,3.7
2023-01-05,4,103,25,Yes,No,South,21,3.89
2023-01-05,4,104,99,Yes,No,West,26,3.18
2023-01-05,4,105,60,Yes,Yes,North,35,3.93
2023-01-05,5,101,87,No,Yes,South,40,2.55
2023-01-05,5,102,31,No,No,North,23,3.81
2023-01-05,5,103,33,Yes,No,South,27,3.59
2023-01-05,5,104,23,Yes,No,East,39,4.05
2023-01-05,5,105,58,Yes,Yes,North,25,3.37
2023-01-06,1,101,35,No,Yes,East,21,3.15
2023-01-06,1,102,25,No,Yes,West,37,2.82
2023-01-06,1,103,72,No,No,South,22,4.08
2023-01-06,1,104,89,Yes,Yes,East,28,3.64
2023-01-06,1,105,46,No,No,East,26,3.09
2023-01-06,2,101,73,No,No,West,34,3.04
2023-01-06,2,102,54,Yes,No,North,33,2.84
2023-01-06,2,103,33,No,Yes,South,37,2.79
2023-01-06,2,104,40,No,No,South,39,3.29
2023-01-06,2,105,40,No,Yes,East,24,3.19
2023-01-06,3,101,66,Yes,Yes,South,40,4.22
2023-01-06,3,102,67,Yes,No,East,21,4.2
2023-01-06,3,103,38,No,No,West,33,4.41
2023-01-06,3,104,85,No,Yes,South,37,3.51
2023-01-06,3,105,27,Yes,No,East,40,3.75
2023-01-06,4,101,22,Yes,No,West,29,2.79
2023-01-06,4,102,24,No,Yes,East,25,3.9
2023-01-06,4,103,46,Yes,No,North,28,2.83
2023-01-06,4,104,21,Yes,Yes,North,38,3.15
2023-01-06,4,105,69,No,Yes,North,24,2.5
2023-01-06,5,101,55,Yes,No,East,21,3.18
2023-01-06,5,102,39,No,Yes,East,21,3.92
2023-01-06,5,103,51,No,No,West,26,4.32
2023-01-06,5,104,72,Yes,No,East,24,2.53
2023-01-06,5,105,50,Yes,Yes,East,26,4.45
2023-01-07,1,101,75,Yes,No,South,27,3.48
2023-01-07,1,102,21,Yes,No,East,23,2.75
2023-01-07,1,103,65,Yes,No,East,39,2.61
2023-01-07,1,104,67,No,Yes,East,28,4.03
2023-01-07,1,105,90,No,No,East,36,4.44
2023-01-07,2,101,49,Yes,Yes,East,30,3.21
2023-01-07,2,102,92,No,Yes,East,22,2.94
2023-01-07,2,103,62,No,Yes,West,27,3.52
2023-01-07,2,104,60,Yes,No,East,34,2.89
2023-01-07,2,105,81,Yes,Yes,South,22,4.37
2023-01-07,3,101,25,No,Yes,North,38,4.06
2023-01-07,3,102,92,No,No,South,36,3.83
2023-01-07,3,103,82,No,No,North,23,2.54
2023-01-07,3,104,93,Yes,Yes,North,33,3.79
2023-01-07,3,105,75,Yes,No,West,32,4.05
2023-01-07,4,101,33,Yes,Yes,West,40,2.56
2023-01-07,4,102,51,No,No,West,23,4.2
2023-01-07,4,103,53,No,No,North,38,4.47
2023-01-07,4,104,80,No,No,South,32,3.57
2023-01-07,4,105,27,Yes,Yes,South,29,3.73
2023-01-07,5,101,66,No,No,North,38,3.86
2023-01-07,5,102,55,No,No,North,35,4.29
2023-01-07,5,103,95,Yes,Yes,East,28,3.91
2023-01-07,5,104,45,Yes,No,East,36,3.42
2023-01-07,5,105,45,Yes,Yes,North,33,3.36
2023-01-08,1,101,45,Yes,No,North,20,2.6
2023-01-08,1,102,33,Yes,No,North,24,3.06
2023-01-08,1,103,24,Yes,Yes,North,23,3.24
2023-01-08,1,104,54,No,No,South,22,4.41
2023-01-08,1,105,27,Yes,No,East,35,3.18
2023-01-08,2,101,81,No,No,North,26,3.2
2023-01-08,2,102,29,No,No,West,37,4.08
2023-01-08,2,103,68,Yes,No,East,38,3.09
2023-01-08,2,104,71,No,No,East,25,3.15
2023-01-08,2,105,53,Yes,Yes,South,39,4.31
2023-01-08,3,101,23,No,No,North,29,4.34
2023-01-08,3,102,20,Yes,Yes,East,33,3.14
2023-01-08,3,103,48,No,Yes,North,23,3.19
2023-01-08,3,104,71,Yes,No,South,34,3.14
2023-01-08,3,105,34,No,Yes,North,32,3.97
2023-01-08,4,101,74,Yes,No,North,36,3.55
2023-01-08,4,102,95,Yes,Yes,North,40,4.45
2023-01-08,4,103,65,Yes,No,South,27,3.06
2023-01-08,4,104,32,No,No,East,39,3.65
2023-01-08,4,105,26,Yes,No,West,32,4.03
2023-01-08,5,101,80,No,No,East,33,2.88
2023-01-08,5,102,96,No,No,East,30,3.81
2023-01-08,5,103,35,No,No,North,37,4.33
2023-01-08,5,104,80,Yes,Yes,West,25,3.25
2023-01-08,5,105,72,Yes,No,East,34,3.35
2023-01-09,1,101,90,Yes,Yes,South,25,2.54
2023-01-09,1,102,24,Yes,No,East,32,3.09
2023-01-09,1,103,82,Yes,No,South,21,3.9
2023-01-09,1,104,77,Yes,No,West,31,2.58
2023-01-09,1,105,40,Yes,Yes,North,36,2.82
2023-01-09,2,101,32,Yes,No,South,30,2.63
2023-01-09,2,102,21,Yes,No,East,35,3.95
2023-01-09,2,103,49,Yes,No,West,31,3.32
2023-01-09,2,104,65,Yes,No,East,34,2.93
2023-01-09,2,105,48,Yes,Yes,West,34,3.5
2023-01-09,3,101,96,Yes,No,East,36,2.54
2023-01-09,3,102,67,No,Yes,East,27,3.92
2023-01-09,3,103,97,Yes,Yes,South,25,4.34
2023-01-09,3,104,79,Yes,Yes,South,24,3.04
2023-01-09,3,105,29,Yes,No,North,39,3.51
2023-01-09,4,101,44,Yes,Yes,West,34,3.18
2023-01-09,4,102,100,Yes,No,West,27,4.49
2023-01-09,4,103,29,Yes,Yes,East,38,4.16
2023-01-09,4,104,49,Yes,Yes,East,33,3.45
2023-01-09,4,105,91,Yes,Yes,East,32,3.5
2023-01-09,5,101,28,Yes,No,East,23,3.54
2023-01-09,5,102,79,Yes,Yes,West,26,2.96
2023-01-09,5,103,76,No,Yes,East,30,2.55
2023-01-09,5,104,46,Yes,Yes,West,28,4.01
2023-01-09,5,105,72,No,Yes,North,27,3.2
2023-01-10,1,101,47,No,No,East,22,3.83
2023-01-10,1,102,78,No,Yes,South,30,3.72
2023-01-10,1,103,82,Yes,Yes,South,25,2.6
2023-01-10,1,104,38,No,Yes,East,36,3.51
2023-01-10,1,105,88,Yes,No,East,31,3.47
2023-01-10,2,101,63,No,No,West,35,4.02
2023-01-10,2,102,33,Yes,Yes,South,25,3.88
2023-01-10,2,103,45,No,No,West,35,2.93
2023-01-10,2,104,44,No,No,East,23,3.35
2023-01-10,2,105,65,No,No,West,38,2.55
2023-01-10,3,101,45,No,Yes,North,38,3.26
2023-01-10,3,102,32,No,No,West,31,3.52
2023-01-10,3,103,52,No,Yes,North,22,2.72
2023-01-10,3,104,59,Yes,Yes,East,35,3.81
2023-01-10,3,105,87,Yes,No,West,22,4.03
2023-01-10,4,101,42,Yes,Yes,East,20,3.6
2023-01-10,4,102,27,Yes,No,West,35,2.89
2023-01-10,4,103,67,Yes,No,West,23,4.33
2023-01-10,4,104,73,No,No,West,20,4.34
2023-01-10,4,105,66,Yes,No,South,39,4.23
2023-01-10,5,101,42,Yes,No,West,31,2.81
2023-01-10,5,102,54,Yes,Yes,West,20,3.41
2023-01-10,5,103,27,Yes,Yes,East,20,4.05
2023-01-10,5,104,60,Yes,Yes,North,37,3.36
2023-01-10,5,105,77,Yes,Yes,South,33,3.25
2023-01-11,1,101,87,No,No,South,24,3.41
2023-01-11,1,102,72,No,Yes,West,23,3.58
2023-01-11,1,103,35,Yes,Yes,East,38,3.88
2023-01-11,1,104,86,No,Yes,West,37,4.24
2023-01-11,1,105,64,Yes,Yes,North,29,4.2
2023-01-11,2,101,32,No,Yes,East,38,2.92
2023-01-11,2,102,47,Yes,Yes,South,21,4.17
2023-01-11,2,103,84,No,No,South,31,4.17
2023-01-11,2,104,57,Yes,Yes,East,25,2.74
2023-01-11,2,105,96,No,No,West,40,3.23
2023-01-11,3,101,24,Yes,No,West,22,2.75
2023-01-11,3,102,36,No,No,North,38,3.23
2023-01-11,3,103,45,No,Yes,North,31,3.94
2023-01-11,3,104,65,Yes,No,South,38,3.03
2023-01-11,3,105,24,No,Yes,East,26,2.72
2023-01-11,4,101,53,No,No,East,24,3.56
2023-01-11,4,102,38,Yes,No,East,35,3.77
2023-01-11,4,103,74,No,No,West,26,3.54
2023-01-11,4,104,43,No,No,West,38,3.51
2023-01-11,4,105,88,No,No,South,30,3.03
2023-01-11,5,101,65,Yes,Yes,East,26,4.47
2023-01-11,5,102,78,No,Yes,West,29,2.55
2023-01-11,5,103,92,No,Yes,West,36,3.08
2023-01-11,5,104,73,Yes,Yes,North,26,3.73
2023-01-11,5,105,74,No,Yes,West,35,2.63
2023-01-12,1,101,46,No,Yes,South,33,2.68
2023-01-12,1,102,90,Yes,No,South,22,3.96
2023-01-12,1,103,45,Yes,Yes,North,36,2.67
2023-01-12,1,104,35,Yes,No,East,21,3.7
2023-01-12,1,105,51,Yes,No,West,40,3.8
2023-01-12,2,101,94,Yes,No,South,39,4.25
2023-01-12,2,102,36,No,No,West,35,2.83
2023-01-12,2,103,65,No,Yes,North,26,2.74
2023-01-12,2,104,82,No,No,West,27,4.25
2023-01-12,2,105,97,No,No,South,21,2.88
2023-01-12,3,101,50,No,No,South,23,4.34
2023-01-12,3,102,50,Yes,Yes,South,32,2.99
2023-01-12,3,103,57,No,No,East,32,3.41
2023-01-12,3,104,80,Yes,Yes,West,22,4.43
2023-01-12,3,105,89,Yes,Yes,West,22,3.05
2023-01-12,4,101,53,No,Yes,North,24,3.78
2023-01-12,4,102,61,No,No,South,38,3.05
2023-01-12,4,103,56,Yes,Yes,West,39,4.16
2023-01-12,4,104,64,Yes,Yes,North,40,3.74
2023-01-12,4,105,22,No,Yes,East,23,4.23
2023-01-12,5,101,69,Yes,Yes,South,34,4.04
2023-01-12,5,102,50,No,No,North,21,4.33
2023-01-12,5,103,76,No,Yes,South,40,3.34
2023-01-12,5,104,69,No,No,South,23,3.76
2023-01-12,5,105,89,Yes,Yes,West,30,3.47
2023-01-13,1,101,29,No,Yes,South,40,4.26
2023-01-13,1,102,31,No,No,North,29,3.87
2023-01-13,1,103,22,Yes,Yes,South,37,3.39
2023-01-13,1,104,53,Yes,Yes,West,29,3.23
2023-01-13,1,105,28,No,No,West,36,3.04
2023-01-13,2,101,80,Yes,No,East,38,3.58
2023-01-13,2,102,92,Yes,No,West,22,3.22
2023-01-13,2,103,76,No,No,South,31,3.67
2023-01-13,2,104,38,No,No,West,24,3.42
2023-01-13,2,105,78,No,No,West,32,3.94
2023-01-13,3,101,85,Yes,Yes,East,37,3.17
2023-01-13,3,102,77,No,No,South,33,4.37
2023-01-13,3,103,76,Yes,Yes,South,31,2.68
2023-01-13,3,104,54,No,No,South,33,3.43
2023-01-13,3,105,21,No,No,North,28,3.11
2023-01-13,4,101,47,No,Yes,East,26,4.12
2023-01-13,4,102,64,No,Yes,West,27,4.13
2023-01-13,4,103,83,Yes,Yes,West,37,3.16
2023-01-13,4,104,37,Yes,Yes,South,39,2.55
2023-01-13,4,105,34,No,No,South,25,4.4
2023-01-13,5,101,34,No,Yes,West,40,3.98
2023-01-13,5,102,95,No,No,West,34,4.5
2023-01-13,5,103,85,No,Yes,South,33,3.45
2023-01-13,5,104,45,No,Yes,East,39,3.02
2023-01-13,5,105,62,Yes,No,South,32,4.22
2023-01-14,1,101,88,Yes,Yes,East,26,2.59
2023-01-14,1,102,26,No,No,East,31,4.41
2023-01-14,1,103,72,No,Yes,North,33,3.08
2023-01-14,1,104,98,No,Yes,West,28,3.14
2023-01-14,1,105,79,No,Yes,West,34,4.12
2023-01-14,2,101,43,No,Yes,West,31,3.06
2023-01-14,2,102,21,Yes,Yes,East,24,4.18
2023-01-14,2,103,97,Yes,No,South,24,3.16
2023-01-14,2,104,41,No,Yes,East,34,2.74
2023-01-14,2,105,52,Yes,No,East,38,4.37
2023-01-14,3,101,84,Yes,No,North,31,3.04
2023-01-14,3,102,25,No,Yes,East,28,3.3
2023-01-14,3,103,66,No,No,East,37,2.97
2023-01-14,3,104,43,No,No,North,28,4.32
2023-01-14,3,105,59,No,Yes,West,27,3.84
2023-01-14,4,101,35,Yes,No,North,26,3.55
2023-01-14,4,102,33,Yes,Yes,West,33,3.66
2023-01-14,4,103,70,No,No,East,23,3.36
2023-01-14,4,104,41,No,Yes,North,21,3.13
2023-01-14,4,105,33,Yes,Yes,East,29,3.47
2023-01-14,5,101,71,Yes,Yes,East,22,3.4
2023-01-14,5,102,22,No,No,South,31,3.38
2023-01-14,5,103,100,Yes,Yes,North,36,3.42
2023-01-14,5,104,95,No,No,East,35,2.9
2023-01-14,5,105,73,Yes,No,South,31,4.36
2023-01-15,1,101,54,No,Yes,East,38,3.12
2023-01-15,1,102,35,No,Yes,East,38,2.71
2023-01-15,1,103,52,Yes,Yes,East,27,2.98
2023-01-15,1,104,94,No,No,South,32,3.76
2023-01-15,1,105,51,No,Yes,North,40,4.37
2023-01-15,2,101,94,No,Yes,North,21,3.11
2023-01-15,2,102,50,No,No,South,27,4.35
2023-01-15,2,103,74,No,Yes,North,33,2.74
2023-01-15,2,104,56,Yes,Yes,West,23,3.0
2023-01-15,2,105,67,No,No,West,25,2.74
2023-01-15,3,101,61,Yes,Yes,North,36,2.77
2023-01-15,3,102,90,No,No,East,36,2.72
2023-01-15,3,103,88,No,No,North,21,2.82
2023-01-15,3,104,45,No,No,East,29,4.0
2023-01-15,3,105,38,No,No,North,27,2.94
2023-01-15,4,101,87,Yes,No,North,36,3.61
2023-01-15,4,102,69,No,Yes,South,38,3.67
2023-01-15,4,103,90,No,No,South,30,4.08
2023-01-15,4,104,68,No,Yes,North,25,3.18
2023-01-15,4,105,50,Yes,Yes,South,34,2.78
2023-01-15,5,101,66,Yes,No,West,38,4.42
2023-01-15,5,102,39,No,No,West,24,4.39
2023-01-15,5,103,74,No,Yes,South,29,3.61
2023-01-15,5,104,27,No,No,West,39,3.22
2023-01-15,5,105,20,Yes,No,North,33,2.58
2023-01-16,1,101,88,No,Yes,West,33,3.49
2023-01-16,1,102,84,Yes,Yes,East,34,3.94
2023-01-16,1,103,35,No,Yes,West,31,3.96
2023-01-16,1,104,60,No,No,East,23,2.69
2023-01-16,1,105,80,No,Yes,North,28,2.88
2023-01-16,2,101,76,Yes,No,East,23,3.68
2023-01-16,2,102,33,No,No,West,21,3.52
2023-01-16,2,103,31,No,No,South,20,4.05
2023-01-16,2,104,93,No,Yes,South,34,3.66
2023-01-16,2,105,88,No,No,East,38,2.78
2023-01-16,3,101,72,Yes,Yes,West,34,2.89
2023-01-16,3,102,55,No,Yes,North,29,3.19
2023-01-16,3,103,42,Yes,Yes,South,39,3.87
2023-01-16,3,104,50,Yes,No,East,29,3.15
2023-01-16,3,105,45,Yes,Yes,North,38,3.93
2023-01-16,4,101,31,Yes,No,North,39,3.19
2023-01-16,4,102,86,No,Yes,South,38,3.06
2023-01-16,4,103,42,No,Yes,West,38,3.96
2023-01-16,4,104,46,No,Yes,East,27,3.54
2023-01-16,4,105,76,Yes,No,East,36,3.02
2023-01-16,5,101,36,No,No,South,39,2.82
2023-01-16,5,102,83,Yes,Yes,East,37,3.94
2023-01-16,5,103,30,No,Yes,East,33,4.04
2023-01-16,5,104,58,No,Yes,East,22,2.9
2023-01-16,5,105,72,Yes,Yes,East,23,3.23
2023-01-17,1,101,49,Yes,No,North,31,3.84
2023-01-17,1,102,91,Yes,Yes,West,36,4.35
2023-01-17,1,103,78,No,Yes,South,24,3.8
2023-01-17,1,104,30,Yes,Yes,East,24,3.39
2023-01-17,1,105,27,Yes,Yes,South,28,3.3
2023-01-17,2,101,91,Yes,No,East,26,3.05
2023-01-17,2,102,60,Yes,Yes,South,33,2.63
2023-01-17,2,103,85,Yes,Yes,North,36,3.97
2023-01-17,2,104,35,No,No,North,24,2.79
2023-01-17,2,105,82,No,Yes,North,29,3.21
2023-01-17,3,101,50,Yes,Yes,East,30,2.51
2023-01-17,3,102,72,No,Yes,North,33,3.82
2023-01-17,3,103,70,No,Yes,South,40,4.19
2023-01-17,3,104,72,Yes,No,South,38,3.17
2023-01-17,3,105,66,No,Yes,North,24,4.22
2023-01-17,4,101,71,No,No,North,30,3.5
2023-01-17,4,102,86,No,Yes,South,40,2.62
2023-01-17,4,103,95,No,No,South,20,2.85
2023-01-17,4,104,59,No,Yes,South,38,2.85
2023-01-17,4,105,61,No,Yes,West,21,2.56
2023-01-17,5,101,52,No,Yes,West,29,2.65
2023-01-17,5,102,28,No,Yes,East,36,2.74
2023-01-17,5,103,66,No,No,North,25,4.3
2023-01-17,5,104,99,No,Yes,East,29,3.12
2023-01-17,5,105,94,No,Yes,West,35,4.16
2023-01-18,1,101,39,No,Yes,East,27,4.03
2023-01-18,1,102,82,No,No,North,36,3.21
2023-01-18,1,103,50,No,No,North,28,4.0
2023-01-18,1,104,50,Yes,No,South,23,3.56
2023-01-18,1,105,66,No,No,North,28,2.63
2023-01-18,2,101,24,Yes,No,East,26,4.46
2023-01-18,2,102,43,No,Yes,East,29,3.8
2023-01-18,2,103,51,Yes,Yes,West,29,3.01
2023-01-18,2,104,52,No,Yes,East,38,2.63
2023-01-18,2,105,59,Yes,No,South,28,2.51
2023-01-18,3,101,92,Yes,No,West,23,2.71
2023-01-18,3,102,76,No,Yes,West,29,3.71
2023-01-18,3,103,46,No,No,East,29,2.86
2023-01-18,3,104,54,Yes,Yes,South,28,2.98
2023-01-18,3,105,29,No,No,West,35,2.54
2023-01-18,4,101,75,No,Yes,East,36,4.43
2023-01-18,4,102,61,Yes,Yes,East,20,4.11
2023-01-18,4,103,60,No,No,North,39,4.4
2023-01-18,4,104,28,Yes,Yes,South,26,4.19
2023-01-18,4,105,93,No,No,East,39,3.56
2023-01-18,5,101,80,No,Yes,West,20,4.38
2023-01-18,5,102,44,No,No,East,26,2.75
2023-01-18,5,103,52,No,No,East,29,2.57
2023-01-18,5,104,28,No,No,West,22,3.14
2023-01-18,5,105,86,Yes,Yes,South,26,4.41
2023-01-19,1,101,92,No,No,North,32,3.9
2023-01-19,1,102,97,No,Yes,West,38,3.38
2023-01-19,1,103,53,Yes,No,North,32,2.79
2023-01-19,1,104,28,No,No,West,24,3.68
2023-01-19,1,105,95,Yes,Yes,East,40,2.79
2023-01-19,2,101,22,No,No,South,35,2.7
2023-01-19,2,102,94,Yes,No,South,40,3.51
2023-01-19,2,103,42,No,Yes,North,33,4.12
2023-01-19,2,104,83,No,Yes,North,39,2.58
2023-01-19,2,105,35,No,No,East,39,3.69
2023-01-19,3,101,95,No,No,North,35,3.52
2023-01-19,3,102,28,No,Yes,South,21,4.31
2023-01-19,3,103,26,Yes,No,West,33,4.28
2023-01-19,3,104,60,Yes,Yes,South,23,3.44
2023-01-19,3,105,66,Yes,Yes,South,30,4.45
2023-01-19,4,101,76,No,No,East,30,2.88
2023-01-19,4,102,30,No,No,East,23,4.39
2023-01-19,4,103,90,Yes,Yes,South,38,3.57
2023-01-19,4,104,77,No,No,North,36,2.73
2023-01-19,4,105,22,No,Yes,West,35,2.68
2023-01-19,5,101,58,Yes,No,West,34,3.85
2023-01-19,5,102,57,Yes,No,North,39,2.85
2023-01-19,5,103,70,No,No,East,38,4.28
2023-01-19,5,104,100,Yes,No,East,40,3.46
2023-01-19,5,105,74,No,No,North,26,2.73
2023-01-20,1,101,95,No,Yes,North,35,4.34
2023-01-20,1,102,86,No,Yes,West,20,3.07
2023-01-20,1,103,73,Yes,No,West,23,4.18
2023-01-20,1,104,66,No,No,North,32,3.97
2023-01-20,1,105,45,No,Yes,East,26,4.38
2023-01-20,2,101,47,Yes,Yes,West,39,2.55
2023-01-20,2,102,54,No,Yes,South,26,3.2
2023-01-20,2,103,69,No,No,West,40,2.76
2023-01-20,2,104,98,Yes,Yes,North,26,4.26
2023-01-20,2,105,45,Yes,Yes,East,32,2.81
2023-01-20,3,101,33,No,Yes,East,40,3.23
2023-01-20,3,102,53,Yes,No,South,20,3.91
2023-01-20,3,103,70,Yes,Yes,East,33,3.61
2023-01-20,3,104,39,Yes,Yes,West,23,3.6
2023-01-20,3,105,69,No,Yes,North,23,3.68
2023-01-20,4,101,79,No,Yes,West,27,3.01
2023-01-20,4,102,95,No,No,North,29,2.79
2023-01-20,4,103,32,No,No,West,38,4.37
2023-01-20,4,104,28,No,No,South,24,2.88
2023-01-20,4,105,81,No,Yes,South,34,2.94
2023-01-20,5,101,88,No,No,South,24,3.23
2023-01-20,5,102,51,Yes,No,East,28,4.24
2023-01-20,5,103,76,Yes,No,South,35,3.16
2023-01-20,5,104,97,Yes,No,South,31,3.57
2023-01-20,5,105,37,No,Yes,South,22,4.31
2023-01-21,1,101,82,Yes,Yes,East,26,3.48
2023-01-21,1,102,73,Yes,No,West,22,3.71
2023-01-21,1,103,81,No,Yes,North,20,3.63
2023-01-21,1,104,95,Yes,No,West,28,3.34
2023-01-21,1,105,96,No,No,North,29,4.2
2023-01-21,2,101,41,Yes,No,North,22,3.21
2023-01-21,2,102,52,No,Yes,South,32,2.77
2023-01-21,2,103,29,No,Yes,East,26,3.35
2023-01-21,2,104,90,Yes,Yes,South,33,3.61
2023-01-21,2,105,49,Yes,Yes,South,33,2.65
2023-01-21,3,101,75,No,Yes,South,35,3.75
2023-01-21,3,102,23,Yes,No,West,25,3.64
2023-01-21,3,103,99,Yes,No,South,24,4.32
2023-01-21,3,104,24,No,No,West,40,3.58
2023-01-21,3,105,94,Yes,Yes,South,23,2.67
2023-01-21,4,101,91,Yes,Yes,North,21,2.96
